mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,openrun,prfstate
PF240567,새벽의 입구에서,2024.06.06,2024.09.01,서경대학교 공연예술센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240567_240507_140637.jpg,뮤지컬,N,공연중
PF240510,일리아드,2024.06.18,2024.09.08,예스24아트원(구.대학로아트원씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF240510_240507_105816.jpg,연극,N,공연중
PF240388,에밀 [대학로],2024.06.11,2024.09.01,예스24 스테이지(구. DCF대명문화공장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF240388_240503_093714.jpg,뮤지컬,N,공연중
PF240332,빵야,2024.06.18,2024.09.08,예스24아트원(구.대학로아트원씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF240332_240502_134212.jpg,연극,N,공연중
PF240327,"꽃, 별이 지나",2024.06.08,2024.08.18,서경대학교 공연예술센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240327_240502_132914.gif,연극,N,공연중
PF240203,"두들팝 VER.3, 하이팝",2024.07.13,2024.09.01,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),http://www.kopis.or.kr/upload/pfmPoster/PF_PF240203_240430_093401.gif,뮤지컬,N,공연중
PF240069,수박수영장 [서울],2024.07.06,2024.08.25,국립중앙박물관 극장 용,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240069_240426_154440.gif,뮤지컬,N,공연중
PF240002,프랑켄슈타인,2024.06.05,2024.08.25,블루스퀘어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240002_240426_094626.gif,뮤지컬,N,공연중
PF239896,미오 프라텔로 [대학로],2024.05.21,2024.08.11,링크아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239896_240424_144607.gif,뮤지컬,N,공연중
PF239885,햄릿,2024.06.09,2024.09.01,홍익대 대학로 아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239885_240424_141110.gif,연극,N,공연중
