,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
20,데이터솔루션엔지니어 수행 팀원 담당자 (신입),㈜넷스루,솔루션·SI·CRM·ERP,벤처기업 (비상장),69명,1999년(26년차),신입,초대졸이상,"Javascript,SQL,Linux",정규직수습3개월,회사내규에따름,서울시성동구
21,데이터솔루션엔지니어 수행 팀원 담당자 (경력),㈜넷스루,솔루션·SI·CRM·ERP,벤처기업 (비상장),69명,1999년(26년차),경력 (1년이상),학력무관,"JAVA,Javascript,Python,R,SAS,SAP,QUERY",정규직수습3개월,회사내규에따름,서울시성동구
22,[Qoo10] 데이터분석 엔지니어 (경력),㈜큐텐 코리아,전자상거래소매중개업,중소기업 (-),명시되어있지않음,명시되어있지않음,경력 (3년이상),학력무관,"GCP,Hadoop,MySQL,Python,SQL,Tableau,Hive,DataStage,ETL,MSTR",정규직,회사내규에따름 -면접후결정,서울시강남구
23,"빅데이터 플랫폼 Splunk 구축, 데이터 분석 및 개발 엔지니어 채용",㈜바이텍씨스템,솔루션·SI·CRM·ERP,중소기업 (비상장),70명,1988년(37년차),경력,대졸이상,Python,정규직수습3개월,회사내규에따름 -면접후결정,경기도성남시분당구
24,[급구] 부산시 마이크로 소프트 데이터 센타 엔지니어 사무업무 서프트 ㈜비엠코리아,㈜비엠코리아,시설관리·보안·경비,중소기업 (비상장),220명,2004년(21년차),경력무관,학력무관,"Excel,PowerPoint,워드,OA,MicrosoftOffice",프리랜서근무기간3개월,월급240~240만원,부산강서구
25,[워라밸]데이터복구엔지니어모십니다.,컴퓨터수리,컴퓨터·하드웨어·장비,중소기업 (비상장),33명,2010년(15년차),경력무관,학력무관,명시되어있지않음,정규직   계약직   프리랜서,월급400~850만원,경기도남양주시
26,[춘천]데이터복구및맥북AS엔지니어모집(거주지우선),컴퓨터수리,컴퓨터·하드웨어·장비,중소기업 (비상장),38명,2012년(13년차),경력무관,학력무관,명시되어있지않음,정규직   계약직   프리랜서,월급400~700만원,강원도춘천시
27,2024년 상반기 채용연계형 신입인턴 채용,㈜웅진,지주회사,중견기업 (코스피),884명,1983년(42년차),신입,대졸이상(졸업예정자가능),"JAVA,SpringBoot,SQL,영어,webframework,PLSQL,ResfullAPI",인턴근무기간2개월 정규직전환가능,월급230만원이상,서울시중구
28,하나펀드서비스㈜ 각 부문 신입 및 경력  채용,하나펀드서비스㈜,은행·금융,대기업계열사·자회사 (비상장),135명,2003년(22년차),신입·경력,대졸이상(졸업예정자가능),"JAVA,J-vascript",정규직수습3개월   계약직,회사내규에따름 [신입연봉:5천만원내외],"서울시중구 ,강북구 ,광진구 ,동대문구 ,서대문구 ,성동구 ,용산구 ,종로구 ,인천시서구 ,동구 ,부평구 ,연수구 ,미추홀구 ,중구"
29,"[풀무원] ORGA 점장후보, 상품기획, 조리사",㈜올가홀푸드,백화점·유통·도소매,대기업계열사·자회사 (비상장),260명,1981년(44년차),신입·경력,고졸이상상세요강참조,명시되어있지않음,정규직수습3개월,회사내규에따름 -면접후결정,"서울시송파구 ,서울전지역 ,강남구 ,강동구 ,서초구 ,경기전지역 ,용인시기흥구 ,용인시수지구 ,용인시처인구"
30,로지스올시스템즈 신입/경력사원 채용 (IT시스템 개발),로지스올그룹,기타운송장비임대업,중견기업 (비상장),970명,1985년(40년차),신입·경력 (1년이상) 직무별,대졸이상,"C#,Flutter,JAVA,Javascript,Oracle,Python,React,Spring,Vue.js,Nexacro",정규직,회사내규에따름 -면접후결정,"서울시마포구 ,서울전지역"
31,㈜웨이버스·(주)웨이텍 4차 수시채용,㈜웨이버스,솔루션·SI·CRM·ERP,중소기업 (코스닥상장),280명,2004년(21년차),신입·경력,대졸이상,명시되어있지않음,정규직,"연봉3,500만원이상 -면접후결정대졸초임기준",서울시구로구
32,[SPC그룹][Secta9ine] 각 부문 경력사원 채용,(주)섹타나인,네트워크·통신서비스,중견기업 (비상장),305명,2006년(19년차),경력 (2년이상) 직무별상이,대졸이상,"Python,SAS,SQL,Figma,PowerPoint,Illustrator,Photoshop,애프터이펙트,OA",정규직,회사내규에따름 -면접후결정,서울시강남구
33,2024 기아 월간 경력채용,기아㈜,자동차·조선·철강·항공,대기업 (비상장),명시되어있지않음,1944년(81년차),경력,대졸이상,"Figma,PowerPoint,Illustrator,Photoshop,영어회화,일본어,중국어,프랑스어,CERT,CISA자격,CISSP자격,MicrosoftOffice,TOEIC,정보보안기사자격,word",정규직,회사내규에따름 -면접후결정,"서울전지역 ,경기전지역 ,화성시"
34,2024년 신입/경력 채용,㈜단군소프트,솔루션·SI·CRM·ERP,중소기업 (비상장),51명,2002년(23년차),신입·경력 직무별상이,학력무관직무별상이,"Excel,PowerPoint",정규직수습3개월,회사내규에따름 -면접후결정,"서울시서초구 ,서울전지역 ,강남구 ,강동구 ,관악구 ,광진구 ,구로구 ,금천구 ,동대문구 ,동작구 ,마포구 ,송파구 ,영등포구 ,용산구 ,경기도과천시"
35,㈜비알팜 QA/QC팀장/디자인/공무/ 생산관리/원료생산/생산부/임상 직원 채용,㈜비알팜,제약·보건·바이오,중소기업 (비상장),99명,2005년(20년차),경력무관 직무별상이,대졸이상직무별상이,"Illustrator,Photoshop",정규직   계약직근무기간3개월,회사내규에따름 -면접후결정,강원도원주시
36,2024년 SFA 공개채용 (경력 및 신입),㈜에스에프에이,반도체·디스플레이·광학,중견기업 (코스닥상장),750명,1998년(27년차),신입·경력,대졸이상,"C#,C++,Hadoop,JAVA,Javascript,Kafka,Python,Spark,Linux,AutoCAD",정규직수습3개월,회사내규에따름 -면접후결정,"경기도화성시 ,충남아산시"
37,2024년 신규(신입/경력)직원 모집,㈜한국무역정보통신,솔루션·SI·CRM·ERP,중소기업 (비상장),180명,1991년(34년차),신입·경력 (3년이상),대졸이상(졸업예정자가능),명시되어있지않음,정규직,회사내규에따름 -면접후결정,"경기도성남시분당구 ,서울시강남구"
38,신입/경력 채용,㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),신입·경력,학력무관,명시되어있지않음,정규직   계약직,회사내규에따름 -면접후결정,경기도성남시분당구
